stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,radius_ft,lat,lon
6159,07:45,06:57,133,19,6,900,43.056859,-89.502622
6163,07:49,07:09,133,2,72,180,43.098317,-89.532012
6165,07:30,07:03,133,3,15,1320,43.077991,-89.524276
6171,07:26,07:09,133,2,72,1320,43.094023,-89.485488
6176,07:24,07:03,133,3,15,1320,43.076717,-89.502201
6182,07:42,07:09,133,2,72,1320,43.103855,-89.536504
6188,07:32,06:56,160,2,73,1320,43.053672,-89.486353
6196,07:37,06:55,160,12,71,1320,43.092998,-89.508912
6197,07:45,07:03,133,3,14,900,43.068319,-89.502166
6204,07:40,06:56,160,2,73,1320,43.051158,-89.514142
6205,07:28,07:09,133,2,72,1320,43.103486,-89.486077
6223,07:49,06:56,160,2,73,180,43.056183,-89.49587
6230,07:47,07:03,133,3,15,540,43.071929,-89.525427
6232,07:37,07:09,133,2,72,1320,43.111471,-89.529574
6240,07:21,06:55,160,12,71,1320,43.093243,-89.526617
6241,07:50,06:56,160,2,73,0,43.054905,-89.491599
6243,07:09,06:55,160,12,71,1320,43.084644,-89.477677
6244,07:24,07:03,133,3,14,1320,43.063418,-89.493237
6246,07:31,07:03,133,3,15,1320,43.080291,-89.525045
6258,07:32,07:03,133,3,15,1320,43.079464,-89.529426
6264,07:33,07:09,133,2,72,1320,43.1117,-89.51064
6265,07:36,07:06,5,80,3,1320,43.051651,-89.481044
6266,07:34,06:56,160,2,73,1320,43.05512,-89.491784
6270,07:44,07:09,133,2,72,1080,43.097137,-89.54037
6273,07:46,06:56,160,2,73,720,43.068707,-89.524065
6276,07:25,07:03,133,3,14,1320,43.061625,-89.497258
6281,07:41,06:57,133,19,6,1320,43.057488,-89.513817
6288,07:30,07:09,133,2,72,1320,43.106685,-89.498394
6291,07:50,06:55,160,12,71,0,43.089287,-89.485669
6296,07:16,06:55,160,12,73,1320,43.053585,-89.480355
6301,07:26,07:09,133,2,72,1320,43.096566,-89.485737
6304,07:20,06:55,160,12,71,1320,43.095477,-89.523721
6313,07:34,06:55,160,12,71,1320,43.094434,-89.516842
6323,07:46,07:03,133,3,14,720,43.067427,-89.496685
6325,07:38,06:55,160,12,71,1320,43.089265,-89.508166
6330,07:25,07:03,133,3,14,1320,43.060936,-89.497529
6332,07:26,07:03,133,3,14,1320,43.060907,-89.500763
6333,07:15,06:55,160,12,71,1320,43.097258,-89.511375
6340,07:22,07:03,133,3,15,1320,43.075319,-89.489002
6342,07:49,06:56,160,2,73,180,43.075013,-89.53137
6350,07:45,06:57,133,19,6,900,43.057423,-89.504005
6351,07:49,07:03,133,3,14,180,43.063194,-89.493076
6355,07:29,06:55,160,12,71,1320,43.087994,-89.532539
6357,07:49,06:56,160,2,73,180,43.056503,-89.499795
6365,07:48,06:56,160,2,73,360,43.072171,-89.525082
6368,07:49,07:03,133,3,15,180,43.065348,-89.52585
6382,07:35,06:56,160,2,73,1320,43.056746,-89.496969
6388,07:31,07:09,133,2,72,1320,43.108948,-89.501496
6400,07:23,07:03,133,3,14,1320,43.063384,-89.489163
6415,07:50,07:09,133,2,72,0,43.098329,-89.527936
6418,07:38,06:57,133,19,6,1320,43.060879,-89.503293
6422,07:36,06:56,160,2,73,1320,43.055462,-89.503262
6423,07:36,07:06,5,80,3,1320,43.053048,-89.480749
6426,07:39,06:57,133,19,6,1320,43.060822,-89.508156
6427,07:33,07:03,133,3,15,1320,43.076983,-89.531237
6435,07:46,07:03,133,3,14,720,43.068052,-89.499043
6438,07:42,07:09,133,2,72,1320,43.102297,-89.536587
6439,07:25,07:09,133,2,72,1320,43.090191,-89.485645
