stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,initial_walk_time,radius_ft
2175,12:19,12:08,178,10,null,4,1320
2178,12:53,12:15,5,80,6,6,1260
2180,12:40,12:02,809,1,null,2,1320
2182,12:53,12:18,160,3,18,1,1260
2184,12:22,12:12,178,15,null,4,1320
2191,12:31,12:08,178,10,null,4,1320
2192,12:24,12:21,692,10,null,7,1320
2193,12:31,12:19,178,70,null,4,1320
2195,12:31,12:17,532,80,null,7,1320
2197,12:31,12:19,178,70,null,4,1320
2199,12:46,12:30,692,2,null,7,1320
2200,12:16,12:08,178,10,null,4,1320
2202,12:53,12:18,160,3,18,1,1260
2204,12:58,12:25,809,15,null,2,360
2206,12:58,12:25,809,15,null,2,360
2212,12:29,12:19,542,3,null,7,1320
2220,12:24,12:12,178,15,null,4,1320
2222,12:51,12:18,160,3,18,1,1320
2224,12:31,12:19,542,3,null,7,1320
2226,12:54,12:18,160,3,18,1,1080
2236,12:25,12:12,178,15,null,4,1320
2240,12:26,12:17,532,80,null,7,1320
2250,12:48,12:15,5,80,6,6,1320
2253,12:50,12:19,542,3,null,7,1320
2264,12:58,12:25,809,15,null,2,360
2265,12:55,12:19,542,3,null,7,900
2267,12:30,12:17,532,80,null,7,1320
2268,12:15,12:08,178,10,null,4,1320
2270,12:14,12:08,178,10,null,4,1320
2274,12:52,12:18,160,3,18,1,1320
2282,12:24,12:12,178,15,null,4,1320
2288,12:19,12:08,178,10,null,4,1320
2290,12:24,12:19,542,3,null,7,1320
2302,12:33,12:19,542,3,null,7,1320
2306,12:39,12:02,809,1,null,2,1320
2320,12:50,12:15,5,80,6,6,1320
2344,12:53,12:15,5,80,6,6,1260
2349,12:27,12:17,532,80,null,7,1320
2357,12:53,12:19,542,3,null,7,1260
2362,12:44,12:30,692,2,null,7,1320
2370,12:17,12:08,178,10,null,4,1320
2374,12:43,12:15,5,80,6,6,1320
2376,12:23,12:12,178,15,null,4,1320
2379,12:48,12:19,542,3,null,7,1320
2380,12:25,12:19,542,3,null,7,1320
2389,12:59,12:19,542,3,null,7,180
2393,12:25,12:21,692,10,null,7,1320
2395,12:28,12:08,178,10,null,4,1320
2433,12:53,12:19,542,3,null,7,1260
2442,12:14,12:11,532,80,null,7,1320
2447,12:59,12:19,542,3,null,7,180
2465,12:39,12:12,160,15,14,1,1320
2470,12:44,12:15,5,80,6,6,1320
